ISBN,title,authors,category,publicationYear,totalCopies,availableCopies,shelfNumber,addedAt,lastUpdated
978-0-06-936795-5,Midnight's Children,Alice Walker,Thriller,2025,196,196,D-54,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-909984-66-0,"Tinker, Tailor, Soldier, Spy",Muriel Spark,Classic,2024,122,122,U-61,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-886278-20-2,Blood Meridian,Henry James,Children's Literature,2024,199,199,V-48,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-227-67757-5,Frankenstein,James Patterson,Philosophy,2026,108,108,F-95,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7206-6263-4,A Room with a View,Bertrand Russell,Biography,2024,75,75,Q-06,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-264-82354-3,Mrs. Dalloway,Peter Carey,Romance,2026,271,271,F-28,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-80344-692-9,American Pastoral,Boris Pasternak,Poetry,2025,13,13,N-74,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-7024-9293-5,Things Fall Apart,Jack London,Historical Fiction,2024,233,233,R-21,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-17-228174-2,Fahrenheit 451,Raymond Chandler,Detective,2026,7,7,R-50,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-268-81097-9,The Wind in the Willows,L. Frank Baum,Adventure,2024,45,45,O-20,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-5200-0255-2,The Diary of a Young Girl,Elizabeth Cleghorn Gaskell,Mystery,2024,129,129,P-75,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-049-05083-6,"20,000 Leagues Under the Sea",Ralph Ellison,Science Fiction,2025,285,285,E-57,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-0918-1132-4,Harry Potter and the Sorcerer's Stone,Peter Carey,Comic,2024,41,41,T-78,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-489-19242-7,The Diary of a Young Girl,Beatrix Potter,Fantasy,2024,125,125,U-84,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-85421-034-0,Bleak House,Clifford R. Adams,Mythology,2024,195,195,V-21,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-965917-75-6,To the Lighthouse,E.M. Forster,Psychology,2025,197,197,G-54,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-6738-3941-8,To the Lighthouse,Brian Evenson,Classic,2024,160,160,C-26,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-100-48297-2,Gulliver's Travels,Vladimir Nabokov,Historical Fiction,2025,255,255,U-49,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-60253-109-3,The Adventures of Huckleberry Finn,Harriet Beecher Stowe,Historical Fiction,2024,92,92,Z-86,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7958-5640-2,The Odyssey,José Rizal,Mythology,2025,54,54,U-39,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-287-73479-9,The Sound and the Fury,Saul Bellow,Philosophy,2025,178,178,V-13,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-8313-5045-1,The Complete Works of Edgar Allen Poe,John Updike,Comedy,2024,299,299,J-90,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-05-400722-1,L.A. Confidential,Theodore Dreiser,Classic,2024,233,233,O-86,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-61679-789-8,The War of the Worlds,Samuel Richardson,Comedy,2025,34,34,I-18,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-494-53163-1,Underworld,Kazuo Ishiguro,Mystery,2025,164,164,G-53,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7416-2562-5,Oliver Twist,Dashiell Hammett,Young Adult,2025,168,168,E-91,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-9868184-2-4,Under the Volcano,Louise Maude,Detective,2025,205,205,L-59,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-63665-204-7,A Passage to India,G.K. Chesterton,Romance,2025,203,203,I-25,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-920659-65-6,One Thousand and One Nights,Niccolo Machiavelli,Historical Fiction,2024,235,235,I-94,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-349-59715-7,Herzog,Marilynne Robinson,Children's Literature,2025,156,156,T-19,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-64718-330-1,Midnight's Children,Anthony Trollope,Western,2026,52,52,E-73,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7646-8945-1,Notes from the Underground,Theodore Dreiser,Fantasy,2026,265,265,P-17,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-8293-1571-4,Lord of the Flies,Shivaram Parashuram Bhide,Romance,2024,103,103,X-11,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-61606-550-8,Robinson Crusoe,Frances Hodgson Burnett,Drama,2025,297,297,T-17,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-7356213-1-9,The Old Man and the Sea,Henry Morley,Adventure,2024,161,161,I-05,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-918789-70-9,If on a Winter's Night a Traveler,Elizabeth Cleghorn Gaskell,Religion,2025,35,35,V-29,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-268-36036-5,Gulliver's Travels,John Ormsby,Business,2025,223,223,A-42,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-396-41099-4,"I, Claudius",E.M. Forster,Adventure,2024,181,181,V-03,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7114-2041-0,The Three Musketeers,Sir Richard Francis Burton,Religion,2025,12,12,D-37,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-287-72293-2,Herzog,Khaled Hosseini,Young Adult,2025,151,151,K-96,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-267-15773-0,Pale Fire,Ralph Ellison,Romance,2025,55,55,Z-56,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-504-82467-8,The Pillars of the Earth,Carson McCallers,Business,2025,267,267,R-71,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-6695-7194-0,The Complete Works of Edgar Allen Poe,John Kennedy Toole,Mystery,2026,125,125,B-87,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-16-659478-0,Anne of Green Gables,Harper Lee,Graphic Novel,2024,23,23,Q-13,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-11-713569-7,Leaves of Grass,Victor Hugo,Mythology,2024,167,167,S-24,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-88035-634-3,The Master and Margarita,Daniel Defoe,Biography,2024,196,196,K-25,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-05-264013-0,The Sleepwalkers,Salman Rushdie,Classic,2024,90,90,X-69,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-942065-24-1,Atonement,Thomas Hardy,Drama,2024,251,251,G-71,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-956147-29-2,The Scarlet Letter,Kurt Vonnegut,Classic,2025,61,61,O-58,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-412-49774-2,Brideshead Revisited,Rachel Kushner,Western,2025,190,190,W-22,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-00-092850-4,Dr. Zhivago,Don DeLillo,Religion,2025,32,32,M-44,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-283-02523-2,A Passage to India,Jacob Grimm,Romance,2025,61,61,L-61,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-995164-08-3,Paradise Lost,L.M. Montgomery,Poetry,2024,278,278,S-69,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-8243-6095-5,Money,Elizabeth Cleghorn Gaskell,Young Adult,2024,53,53,B-97,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-249-61401-5,One Flew Over the Cuckoo's Nest,William Gibson,Western,2025,4,4,I-38,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-257-91623-1,Carmilla,Henry Morley,Religion,2024,16,16,E-40,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-5166-1763-0,Men Without Women,Herman Melville,Horror,2026,96,96,R-05,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-305-30586-1,Republic,William Gibson,Memoir,2024,44,44,H-14,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-989319-44-4,A Clockwork Orange,D.H. Lawrence,Mythology,2024,185,185,K-01,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-395-86626-6,The Lord of the Rings,Benjamin Jowett,Memoir,2025,35,35,P-53,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-2286-2625-1,The Iliad,L. Frank Baum,Business,2025,52,52,L-09,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-77115-091-0,Dr. Zhivago,Lewis Carroll,Historical Fiction,2024,1,1,Q-79,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-714-72415-4,The Way We Live Now,Kazuo Ishiguro,Religion,2025,89,89,N-12,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-7317-0617-1,"Absalom, Absalom!",Jonathan Franzen,Comic,2025,28,28,V-82,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-10-531811-8,The Alchemist,Theodore Alois Buckley,Fantasy,2025,258,258,A-87,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-933961-44-9,The Diary of a Nobody,Albert Camus,Business,2025,159,159,C-97,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-538-41370-1,Carmilla,Paulo Coelho,Romance,2025,238,238,R-47,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-209-33872-2,Midnight's Children,Robert Louis Stevenson,Classic,2024,132,132,G-38,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-05-042633-0,Middlemarch,Virginia Woolf,Biography,2026,130,130,P-49,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-920266-73-1,Underworld,Friedrich Wilhelm Nietzsche,Western,2025,150,150,X-04,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-9790-1998-9,Under the Volcano,Henry Fielding,Memoir,2024,288,288,E-90,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-683-47252-3,The Remains of the Day,Leo Tolstoy,Graphic Novel,2025,45,45,O-39,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-495-05416-0,Gulliver's Travels,Gustave Doré,Poetry,2026,72,72,C-89,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-331-75784-9,Men Without Women,Samuel Beckett,Psychology,2025,186,186,K-27,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-256-72497-1,Jude the Obscure,Samuel Richardson,Philosophy,2025,44,44,F-75,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-58709-709-6,Winnie-the-Pooh,Emily Brontë,Comic,2024,139,139,K-31,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-877213-53-3,Lolita,Robert Graves,Fantasy,2024,154,154,C-45,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-9843896-9-8,The Rainbow,Roald Dahl,Drama,2026,170,170,W-61,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-310-47083-7,The Fountainhead,V.S. Naipaul,Mystery,2024,200,200,Q-71,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-87988-401-7,Sybil,L. Frank Baum,Mystery,2025,300,300,H-74,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7464-7482-2,Anna Karenina,Oscar Wilde,Horror,2025,283,283,E-36,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-627-57363-7,Life of Pi,Jonathan Swift,Comedy,2024,184,184,F-16,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-216-98054-9,Neuromancer,Anthony Burgess,Graphic Novel,2025,198,198,T-56,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-255-19937-4,Oscar and Lucinda,R.L. Stine,Drama,2024,280,280,N-83,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7679-8615-1,The Stand,Khaled Hosseini,Poetry,2025,85,85,P-77,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-76860-168-5,Dubliners,Gabriel Garcia Marquez,Poetry,2025,277,277,L-24,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4810-6940-3,Portnoy's Complaint,P.G. Wodehouse,Science Fiction,2025,270,270,M-93,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-590-21518-3,War and Peace,Frances Hodgson Burnett,Philosophy,2025,295,295,Y-81,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-248-58358-9,"Absalom, Absalom!",Elizabeth Cleghorn Gaskell,Memoir,2024,101,101,I-98,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-16-905146-4,Atlas Shrugged,Mikhail Bulgakov,Classic,2025,209,209,L-31,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7614-3064-3,The Plague,Vance Packard,Mythology,2024,164,164,I-05,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-9854002-5-5,The Strange Case of Dr. Jekyll and Mr. Hyde,Boris Pasternak,Science Fiction,2024,220,220,N-11,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-416-16687-3,The Sun Also Rises,William Makepeace Thackeray,Mythology,2025,35,35,B-12,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-388-64027-9,Clarissa,W.K. Marriott,Mythology,2025,23,23,I-36,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-4586-3038-4,David Copperfield,Muriel Spark,Comedy,2024,150,150,Y-91,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-56788-169-1,Heart of Darkness,Norman Mailer,Mythology,2025,103,103,Z-28,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-14-821458-3,Ulysses,Theodore Dreiser,Graphic Novel,2024,21,21,K-35,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-86322-244-0,The Pillars of the Earth,C.E. Brock,Historical Fiction,2024,204,204,L-89,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-921857-07-2,For Whom the Bell Tolls,Mikhail Bulgakov,Horror,2025,52,52,T-08,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-556-83394-9,Men Without Women,George Orwell,Religion,2025,16,16,E-41,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-9692801-7-0,"I, Claudius",Wilhelm Grimm,Poetry,2025,195,195,B-88,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7938-1297-4,Crime and Punishment,Henry James,Western,2025,112,112,E-17,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-5355-2875-7,Les Miserables,George R. R. Martin,Fantasy,2024,32,32,I-15,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-309-18086-0,A Brief History of Time,Vatsyayana,Business,2026,186,186,O-78,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-17-693538-2,The Waste Land,Dean Koontz,Horror,2024,228,228,T-84,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-574-94391-0,Candide,Frank T. Merrill,Science Fiction,2024,251,251,J-19,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-234-92573-4,"Tinker, Tailor, Soldier, Spy",Constance Garnett,Memoir,2024,189,189,Q-82,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-617-40430-9,Leaves of Grass,Ian McEwan,Young Adult,2024,77,77,D-55,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-454-00490-8,The Three Musketeers,Richard Yates,Historical Fiction,2025,229,229,O-05,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7413-5304-7,Under the Volcano,Michael Chabon,Horror,2025,170,170,X-08,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-05-633148-5,Fahrenheit 451,John Dos Passos,Comedy,2024,251,251,C-98,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-634-19610-2,The Prophet,Frank T. Merrill,Horror,2024,111,111,O-82,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-268-43461-8,The Stand,Daniel Defoe,Children's Literature,2025,129,129,P-17,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-265-00067-0,The Prime of Miss Jean Brodie,Albert Camus,Philosophy,2025,92,92,T-44,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-222-94240-8,The Idiot,Bertrand Russell,Psychology,2024,221,221,B-61,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-77889-681-1,"Are You There God? It's Me, Margaret",Daniel Defoe,Detective,2025,151,151,H-31,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-298-59506-8,Faust,Peter Carey,Horror,2025,70,70,J-96,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-17-635657-6,Robinson Crusoe,Edgar Rice Burroughs,Horror,2024,121,121,L-07,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-303-04808-1,All Quiet on the Western Front,Philip Pullman,Thriller,2025,135,135,A-99,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-6860-5554-6,Anne of Green Gables,V.S. Naipaul,Comedy,2024,194,194,X-58,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-932674-42-5,Dubliners,Saul Bellow,Memoir,2024,48,48,W-96,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-469-87509-8,The Sound and the Fury,Antoine de Saint-Exupéry,Adventure,2024,148,148,T-81,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7349-2193-2,As I Lay Dying,Robert Graves,Mythology,2025,182,182,E-69,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-289-52218-6,The Remains of the Day,Ford Madox Ford,Philosophy,2024,132,132,Y-92,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-74555-773-8,War and Peace,Jonathan Swift,Classic,2025,216,216,M-72,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7506-3970-5,Fahrenheit 451,J.R.R. Tolkien,Psychology,2025,155,155,F-65,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-208-10372-7,The Kite Runner,Malcolm Lowry,Fantasy,2024,101,101,B-91,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-7984-3328-7,Dubliners,Theodore Dreiser,Thriller,2024,146,146,A-44,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7770-1063-1,Stories of Anton Chekhov,John Camden Hotten,Fantasy,2024,7,7,P-43,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-78039-917-1,The Pilgrim's Progress,George R. R. Martin,Thriller,2024,8,8,Y-01,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-626-05215-7,Josefine Mutzenbacher,George Grossmith,Biography,2024,56,56,C-54,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-100-27450-8,Don Quixote,Laurence Sterne,Thriller,2026,262,262,D-46,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-662-52259-1,Never Let Me Go,Benjamin Jowett,Biography,2025,148,148,H-69,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-74629-200-3,The Waste Land,R.L. Stine,Poetry,2024,134,134,O-46,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-350-53766-8,Beyond Good and Evil,Aldous Huxley,Philosophy,2024,131,131,X-18,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7085-8289-3,The Adventures of Huckleberry Finn,R.L. Stine,Biography,2024,237,237,I-29,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-611-75349-6,One Hundred Years of Solitude,Raymond Chandler,Mystery,2025,275,275,Y-53,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-316-76422-0,The Plague,Gustave Flaubert,Young Adult,2024,191,191,P-67,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-5391-1315-7,Metamorphosis,Friedrich Wilhelm Nietzsche,Western,2024,220,220,H-42,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-558-31012-7,It,Kazuo Ishiguro,Business,2026,283,283,S-38,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-378-46109-9,The Stranger,Albert Camus,Children's Literature,2024,176,176,T-66,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-04-209690-2,A Clockwork Orange,Hermann Broch,Detective,2024,288,288,H-40,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-588-68122-8,Long Walk to Freedom,Elizabeth Von Arnim,Young Adult,2024,287,287,H-63,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-513-50226-0,A Confederacy of Dunces,Dan Brown,Western,2024,261,261,Z-82,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-8342-8530-9,Dr. Zhivago,James Patterson,Graphic Novel,2025,11,11,Q-32,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-8167-1374-5,The Diary of a Young Girl,Walker Percy,Science Fiction,2024,285,285,C-86,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-414-09610-3,A Portrait of the Artist as a Young Man,Harper Lee,Young Adult,2025,230,230,R-14,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-600-68022-2,The Adventures of Augie March,Leo Tolstoy,Biography,2026,176,176,V-81,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-255-34359-3,Brave New World,Thomas Mann,Business,2024,270,270,Q-74,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7824-2146-0,Paradise Lost,Bram Stoker,Philosophy,2026,28,28,D-41,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-7763-5913-7,Vanity Fair,Andrew Lang,Detective,2024,1,1,L-04,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-6754-2803-0,Carmilla,Toni Morrison,Psychology,2024,294,294,Z-81,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-60188-128-1,The Odyssey,Henry Miller,Drama,2024,106,106,O-55,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-919909-67-0,The Brothers Karamazov,Virginia Woolf,Graphic Novel,2025,290,290,N-52,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-350-33548-6,A Confederacy of Dunces,Salman Rushdie,Memoir,2025,227,227,R-42,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-329-52075-5,The Strange Case of Dr. Jekyll and Mr. Hyde,Harriet Beecher Stowe,Religion,2024,283,283,T-15,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-332-21208-8,To Kill a Mockingbird,Benjamin Jowett,Historical Fiction,2024,156,156,P-34,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-596-29313-0,A Bend in the River,Anne Frank,Romance,2025,289,289,Q-42,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-8303-9609-2,Animal Farm,Harper Lee,Business,2024,253,253,M-50,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-75375-589-8,The Sun Also Rises,Stephen King,Historical Fiction,2024,73,73,U-95,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-129-43982-7,Neuromancer,Ian McEwan,Psychology,2024,149,149,Y-92,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-76765-458-3,The Little Prince,Truman Capote,Religion,2025,239,239,T-65,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-897883-56-3,A Confederacy of Dunces,Homer,Comedy,2026,186,186,Y-33,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-04-153934-9,Midnight's Children,Charlotte Brontë,Fantasy,2025,235,235,T-58,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-958292-19-8,Slaughterhouse Five,Rudyard Kipling,Western,2025,148,148,Q-12,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-1-61344-562-4,Metamorphosis,Sir Arthur Conan Doyle,Young Adult,2024,4,4,P-22,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-499-34930-9,Don Quixote,L.M. Montgomery,Drama,2024,195,195,M-48,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-480-84730-2,One Hundred Years of Solitude,A.A. Milne,Business,2025,147,147,H-89,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-917468-05-6,A Doll's House,Graham Greene,Poetry,2025,144,144,H-67,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
978-0-02-362987-7,"Tinker, Tailor, Soldier, Spy",Richard Wright,Historical Fiction,2024,88,88,W-40,"2/15/2025, 4:59:00 PM","2/15/2025, 4:59:00 PM"
